시간,가격,청산,OI속도,CVD,기어
2026-08-03 00:30:22,0,0,+0.0000,+0.0,1분
2026-08-03 00:31:22,63137,145428,+0.0008,+0.0,1분
2026-08-03 00:32:22,63140,151040,+0.0135,+0.0,1분
2026-08-03 00:35:02,0,0,+0.0000,+0.0,1분
2026-08-03 00:36:02,63157,103305,+0.0025,+1.0,1분
2026-08-03 00:37:02,63152,56873,+0.0053,+0.8,1분
2026-08-03 00:38:02,63144,66575,+0.0035,+0.0,1분
2026-08-03 00:39:02,63142,0,-0.0094,-0.0,1분
2026-08-03 00:40:02,63141,5353,+0.0016,-0.1,1분
2026-08-03 00:41:02,63136,56024,+0.0019,-0.0,1분
2026-08-03 00:42:02,63132,27413,+0.0008,-0.0,1분
2026-08-03 00:42:57,0,0,+0.0000,+0.0,1분
2026-08-03 01:28:17,0,0,+0.0000,+0.0,1분
2026-08-03 01:29:17,63103,93324,+0.0014,+0.0,1분
2026-08-03 01:30:17,63109,116869,+0.0029,+0.1,1분
2026-08-03 01:31:17,63103,16237,+0.0006,+0.1,1분
2026-08-03 01:32:17,63147,174395,+0.0042,+2.1,1분
2026-08-03 01:33:17,63170,1035145,-0.0118,+0.6,1분
2026-08-03 01:34:18,63170,60075,+0.0125,+0.2,1분
2026-08-03 01:35:18,63168,487628,+0.0058,-0.7,1분
2026-08-03 01:36:18,63175,148961,+0.0010,-0.1,1분
2026-08-03 01:37:18,63159,88882,+0.0027,+0.0,1분
2026-08-03 01:38:18,63167,134826,+0.0057,+2.0,1분
2026-08-03 01:39:18,63188,513741,+0.0015,-1.0,1분
2026-08-03 01:40:18,63213,793611,+0.0136,+3.1,1분
2026-08-03 01:41:18,63217,466490,-0.0012,+0.4,1분
2026-08-03 01:42:18,63246,650063,+0.0030,+0.0,1분
2026-08-03 01:43:18,63253,415934,+0.0021,+0.0,1분
2026-08-03 01:44:18,63247,349080,+0.0319,+0.4,1분
2026-08-03 01:45:18,63212,249264,+0.0011,-0.5,1분
2026-08-03 01:46:18,63212,101944,-0.0024,-0.0,1분
2026-08-03 01:47:18,63214,131132,+0.0024,+0.0,1분
2026-08-03 01:48:18,63215,236056,+0.0027,+0.2,1분
2026-08-03 01:49:18,63210,27038,-0.0002,-0.1,1분
2026-08-03 01:50:18,63210,250110,-0.0002,-0.0,1분
2026-08-03 01:51:19,63191,235428,+0.0211,+0.0,1분
2026-08-03 01:52:19,63192,11572,+0.0092,+0.0,1분
2026-08-03 01:53:19,63192,16177,+0.0053,-0.0,1분
2026-08-03 01:54:19,63189,68454,+0.0000,+0.0,1분
2026-08-03 01:55:19,63197,276224,-0.0041,+4.4,1분
2026-08-03 01:56:19,63202,35707,+0.0009,-0.1,1분
2026-08-03 01:57:19,63199,6119,+0.0106,+0.0,1분
2026-08-03 01:58:19,63189,9037,-0.0034,+0.0,1분
2026-08-03 01:59:19,63189,12397,-0.0010,+0.1,1분
2026-08-03 02:00:19,63183,857243,+0.0121,-0.0,1분
2026-08-03 02:01:19,63167,110881,-0.0018,-2.1,1분
2026-08-03 02:02:19,63165,63167,-0.0026,-0.1,1분
2026-08-03 02:03:19,63186,530787,-0.0023,+0.0,1분
2026-08-03 02:04:19,63187,0,-0.0028,+0.0,1분
2026-08-03 02:05:19,63187,112415,+0.0076,-0.5,1분
2026-08-03 02:06:19,63164,115717,+0.0051,-0.1,1분
2026-08-03 02:07:19,63165,57528,+0.0188,+0.0,1분
2026-08-03 02:08:19,63164,80639,-0.0066,-0.2,1분
2026-08-03 02:09:20,63157,48526,+0.0041,-0.0,1분
2026-08-03 02:10:20,63154,34162,-0.0023,-0.1,1분
2026-08-03 02:11:20,63187,961147,-0.0039,+0.5,1분
2026-08-03 02:12:20,63204,428620,-0.0019,+1.7,1분
2026-08-03 02:13:20,63215,206005,+0.0007,-0.0,1분
2026-08-03 02:14:20,63208,40640,-0.0036,-0.0,1분
2026-08-03 02:15:20,63200,326296,-0.0019,-0.0,1분
2026-08-03 02:16:20,63192,75305,+0.0027,+0.0,1분
2026-08-03 02:17:20,63192,320245,+0.0045,+0.9,1분
2026-08-03 02:18:20,63200,196130,-0.0005,-0.1,1분
2026-08-03 02:19:20,63210,22857,+0.0039,+0.0,1분
2026-08-03 02:20:20,63215,170854,+0.0085,+2.9,1분
2026-08-03 02:21:20,63215,0,-0.0001,-0.0,1분
2026-08-03 02:22:20,63215,186829,+0.0063,-0.1,1분
2026-08-03 02:23:20,63215,44490,+0.0049,+0.0,1분
2026-08-03 02:24:20,63229,57934,+0.0006,+0.1,1분
2026-08-03 02:25:20,63302,1097835,-0.0100,-0.1,1분
2026-08-03 02:26:20,63262,330377,-0.0011,+1.0,1분
2026-08-03 02:27:20,63287,353614,+0.0757,-1.4,1분
2026-08-03 02:28:21,63282,43208,-0.0009,+0.0,1분
2026-08-03 02:29:21,63282,24326,-0.0033,-0.0,1분
2026-08-03 02:30:21,63302,302531,+0.0068,+0.7,1분
2026-08-03 02:31:21,63297,150105,+0.0122,+0.1,1분
2026-08-03 02:32:21,63307,143143,+0.0022,+0.0,1분
2026-08-03 02:33:21,63302,82419,-0.0022,+0.0,1분
2026-08-03 02:34:21,63296,117377,-0.0015,+0.0,1분
2026-08-03 02:35:21,63292,5434,-0.0003,+0.0,1분
2026-08-03 02:36:21,63308,670973,+0.0007,+0.8,1분
2026-08-03 02:37:21,63316,159356,-0.0092,+0.0,1분
2026-08-03 02:38:21,63316,1927778,+0.0149,-0.5,1분
2026-08-03 02:39:21,63313,296151,+0.0108,+0.0,1분
2026-08-03 02:40:21,63311,328575,+0.0101,+0.2,1분
2026-08-03 02:41:21,63311,64557,+0.0016,-0.2,1분
2026-08-03 02:42:21,63297,169142,+0.0091,+0.0,1분
2026-08-03 02:43:21,63292,40849,+0.0043,-0.2,1분
2026-08-03 02:44:21,63292,24848,-0.0023,-0.2,1분
2026-08-03 02:45:21,63331,845085,-0.0155,-0.1,1분
2026-08-03 02:46:22,63332,300256,-0.0076,+0.2,1분
2026-08-03 02:47:22,63332,44595,+0.0022,-0.7,1분
2026-08-03 02:48:22,63328,70097,-0.0017,-0.1,1분
2026-08-03 02:49:22,63315,57242,-0.0020,+0.6,1분
2026-08-03 02:50:22,63327,672798,-0.0095,+0.0,1분
2026-08-03 02:51:22,63317,86747,-0.0042,-0.1,1분
2026-08-03 02:52:22,63312,38753,+0.0045,+0.1,1분
2026-08-03 02:53:22,63312,11360,-0.0027,+0.0,1분
2026-08-03 02:54:22,63310,86644,+0.0011,+0.0,1분
2026-08-03 02:55:22,63310,152268,+0.0007,-0.0,1분
2026-08-03 02:56:22,63307,16760,-0.0048,-0.1,1분
2026-08-03 02:57:22,63304,16188,-0.0001,+0.0,1분
2026-08-03 02:58:22,63314,682555,-0.0007,+1.6,1분
2026-08-03 02:59:22,63313,11028,-0.0018,-0.1,1분
2026-08-03 03:00:23,63313,2389694,+0.0117,+4.4,1분
2026-08-03 03:01:23,63324,170603,+0.0012,-1.1,1분
2026-08-03 03:02:23,63324,124522,-0.0061,+0.2,1분
2026-08-03 03:03:23,63323,298375,-0.0010,+0.2,1분
2026-08-03 03:04:23,63317,348974,+0.0080,+0.6,1분
2026-08-03 03:05:23,63328,221273,-0.0060,+0.1,1분
2026-08-03 03:06:23,63308,167446,-0.0022,-0.0,1분
2026-08-03 03:07:23,63297,156808,-0.0027,-0.1,1분
2026-08-03 03:23:39,0,0,+0.0000,+0.0,1분
2026-08-03 03:24:39,63327,183317,+0.0018,+0.0,1분
2026-08-03 03:25:39,63311,395065,+0.0013,+0.0,1분
2026-08-03 03:26:39,63303,360552,-0.0020,+0.0,1분
2026-08-03 03:27:39,63303,0,+0.0019,-0.0,1분
2026-08-03 03:28:39,63303,16417,+0.0090,+0.2,1분
2026-08-03 03:29:39,63290,191095,+0.0122,-0.1,1분
2026-08-03 03:30:39,63290,49998,+0.0089,-0.0,1분
2026-08-03 03:31:39,63291,280836,+0.0016,-0.0,1분
2026-08-03 03:32:39,63308,598224,+0.0044,+0.0,1분
2026-08-03 03:33:39,63306,225223,+0.0049,-0.0,1분
2026-08-03 03:34:40,63306,94681,+0.0072,+0.1,1분
2026-08-03 03:35:31,63349,1845234,-0.1181,+2.1,1초
2026-08-03 03:35:32,63350,1888043,-0.1181,+2.9,1초
2026-08-03 03:35:33,63350,1918452,-0.1184,+3.6,1초
2026-08-03 03:35:34,63351,1918452,-0.1184,+3.5,1초
2026-08-03 03:35:35,63351,1918452,-0.1188,+1.5,1초
2026-08-03 03:35:36,63351,1918452,-0.1188,+1.5,1초
2026-08-03 03:35:38,63351,1918452,-0.1327,+1.5,1초
2026-08-03 03:35:39,63351,1918452,-0.1327,+0.7,1초
2026-08-03 03:35:40,63351,1720000,-0.1327,+0.3,1초
2026-08-03 03:35:41,63351,1629725,-0.1327,+1.3,1초
2026-08-03 03:35:42,63352,1629725,-0.1318,+1.3,1초
2026-08-03 03:35:43,63352,1629725,-0.1318,+1.3,1초
2026-08-03 03:35:44,63352,1629725,-0.1318,+1.3,1초
2026-08-03 03:35:45,63352,1629725,-0.1330,+1.3,1초
2026-08-03 03:35:46,63352,1623406,-0.1330,+1.1,1초
2026-08-03 03:35:47,63352,1638611,-0.1336,+0.5,1초
2026-08-03 03:35:48,63352,1638611,-0.1310,+0.5,1초
2026-08-03 03:35:49,63352,1638611,-0.1310,+0.5,1초
2026-08-03 03:35:50,63352,1638611,-0.1354,+0.5,1초
2026-08-03 03:35:52,63352,1638611,-0.1351,+0.6,1초
2026-08-03 03:35:53,63352,1648747,-0.1351,+0.9,1초
2026-08-03 03:35:54,63357,1658884,-0.1351,+1.0,1초
2026-08-03 03:35:55,63359,1677160,-0.1352,+1.5,1초
2026-08-03 03:35:56,63359,1677160,-0.1354,+1.5,1초
2026-08-03 03:35:57,63359,1648894,-0.1354,+1.5,1초
2026-08-03 03:35:58,63359,1648894,-0.1357,+1.4,1초
2026-08-03 03:35:59,63360,1659306,-0.1350,+1.1,1초
2026-08-03 03:36:00,63360,1664375,-0.1356,+0.8,1초
2026-08-03 03:36:01,63359,1669444,-0.1356,+0.4,1초
2026-08-03 03:36:02,63361,1690084,-0.1356,+0.8,1초
2026-08-03 03:36:04,63374,1830900,-0.1355,+2.3,1초
2026-08-03 03:36:05,63378,1755548,-0.1355,+2.5,1초
2026-08-03 03:36:06,63387,1785936,-0.1494,+3.6,1초
2026-08-03 03:36:07,63398,1915151,-0.1499,+2.6,1초
2026-08-03 03:36:08,63390,1920862,-0.1499,+2.2,1초
2026-08-03 03:36:09,63390,1730881,-0.1499,+2.2,1초
2026-08-03 03:36:10,63390,1730881,-0.1499,+1.8,1초
2026-08-03 03:36:11,63390,1730881,-0.1499,-0.0,1초
2026-08-03 03:36:12,63390,1493643,-0.1559,-0.8,1초
2026-08-03 03:36:13,63390,1493643,-0.1567,-0.1,1초
2026-08-03 03:36:14,63390,1503785,-0.1567,+0.5,1초
2026-08-03 03:36:15,63390,1260610,-0.1574,+0.9,1초
2026-08-03 03:36:16,63396,1260610,-0.1574,+0.9,1초
2026-08-03 03:36:17,63396,1133951,-0.1574,+0.9,1초
2026-08-03 03:36:18,63396,1235121,-0.1581,-0.9,1초
2026-08-03 03:36:20,63384,1167125,-0.1581,-1.6,1초
2026-08-03 03:36:21,63384,1040460,-0.1581,-2.0,1초
2026-08-03 03:36:22,63382,1040460,-0.1537,-2.4,1초
2026-08-03 03:36:23,63382,1040460,-0.1536,-2.4,1초
2026-08-03 03:36:24,63382,917061,-0.1536,-2.4,1초
2026-08-03 03:36:25,63382,807891,-0.1536,-0.7,1초
2026-08-03 03:36:26,63382,807891,-0.1548,-0.0,1초
2026-08-03 03:36:27,63382,807891,-0.1537,-0.0,1초
2026-08-03 03:36:28,63382,802824,-0.1537,-0.0,1초
2026-08-03 03:36:29,63382,691259,-0.1537,-0.0,1초
2026-08-03 03:36:30,63382,691259,-0.1533,-0.0,1초
2026-08-03 03:36:31,63382,648450,-0.0342,-0.0,1초
2026-08-03 03:36:32,63382,648450,-0.0342,+0.0,1초
2026-08-03 03:36:33,63382,618042,-0.0342,+0.0,1초
2026-08-03 03:36:34,63382,618042,-0.0338,-0.0,1초
2026-08-03 03:36:36,63382,618042,-0.0338,-0.0,1초
2026-08-03 03:36:37,63382,618042,-0.0339,-0.0,1초
2026-08-03 03:36:38,63382,624620,-0.0201,+0.1,1초
2026-08-03 03:36:39,63382,624620,-0.0207,+0.1,1초
2026-08-03 03:36:40,63382,609416,-0.0206,+0.1,1초
2026-08-03 03:36:41,63382,575985,-0.0206,+0.1,1초
2026-08-03 03:36:42,63382,581001,-0.0206,+0.1,1초
2026-08-03 03:36:43,63382,581001,-0.0203,+0.1,1초
2026-08-03 03:36:44,63382,581001,-0.0203,-0.0,1초
2026-08-03 03:36:45,63382,581001,-0.0204,-0.0,1초
2026-08-03 03:36:47,63382,570867,-0.0204,+0.1,1초
2026-08-03 03:36:48,63382,570867,-0.0198,+0.1,1초
2026-08-03 03:36:49,63382,570867,-0.0187,+0.2,1초
2026-08-03 03:36:50,63382,579388,-0.0143,+0.6,1초
2026-08-03 03:36:51,63382,579388,-0.0143,+0.6,1초
2026-08-03 03:36:52,63382,569252,-0.0142,+0.5,1초
2026-08-03 03:36:53,63382,569529,-0.0142,+0.3,1초
2026-08-03 03:36:54,63382,553897,-0.0142,+0.5,1초
2026-08-03 03:36:55,63382,553897,-0.0142,+0.5,1초
2026-08-03 03:36:56,63382,553897,-0.0140,+0.1,1초
2026-08-03 03:36:57,63382,553897,-0.0140,+0.2,1초
2026-08-03 03:36:58,63382,543485,-0.0140,+0.2,1초
2026-08-03 03:37:00,63382,613782,-0.0148,-0.8,1초
2026-08-03 03:37:01,63382,608713,-0.0148,-1.0,1초
2026-08-03 03:37:02,63382,603645,-0.0148,-1.1,1초
2026-08-03 03:37:03,63382,564304,-0.0148,-1.1,1초
2026-08-03 03:37:04,63382,437118,-0.0071,-1.1,1초
2026-08-03 03:37:05,63382,393309,-0.0071,-1.1,1초
2026-08-03 03:37:06,63382,381897,+0.0065,+0.0,1초
2026-08-03 03:37:07,63382,258382,+0.0065,-0.0,1초
2026-08-03 03:37:08,63378,268725,+0.0065,-0.4,1초
2026-08-03 03:37:09,63377,268725,+0.0065,-0.4,1초
2026-08-03 03:37:11,63377,268725,+0.0068,-0.4,1초
2026-08-03 03:37:12,63377,262386,+0.0128,-0.4,1초
2026-08-03 03:37:13,63377,262386,+0.0128,-0.4,1초
2026-08-03 03:37:14,63377,257315,+0.0128,-0.4,1초
2026-08-03 03:37:15,63372,247172,+0.0135,-0.2,1초
2026-08-03 03:37:16,63372,242101,+0.0125,-0.2,1초
2026-08-03 03:37:17,63368,242101,+0.0125,-0.3,1초
2026-08-03 03:37:18,63366,140930,+0.0132,-0.4,1초
2026-08-03 03:37:19,63366,118884,+0.0129,-0.3,1초
2026-08-03 03:37:20,63362,118884,+0.0129,-0.4,1초
2026-08-03 03:37:22,63362,118884,+0.0085,-0.2,1초
2026-08-03 03:37:23,63362,118884,+0.0085,-0.2,1초
2026-08-03 03:37:24,63362,118884,+0.0085,-0.1,1초
2026-08-03 03:37:25,63362,118884,+0.0085,+0.0,1초
2026-08-03 03:37:26,63362,118884,+0.0064,+0.0,1초
2026-08-03 03:37:27,63362,118884,+0.0053,+0.1,1초
2026-08-03 03:37:28,63362,118884,+0.0053,+0.0,1초
2026-08-03 03:37:29,63362,118884,+0.0053,+0.0,1초
2026-08-03 03:37:30,63362,118884,+0.0049,+0.1,1초
2026-08-03 03:38:30,63390,664843,-0.0203,-0.0,1분
2026-08-03 03:39:30,63387,57425,+0.0024,+1.2,1분
2026-08-03 03:40:30,63447,755028,+0.0087,+0.9,1분
2026-08-03 03:41:30,63472,609930,-0.0054,-0.1,1분
2026-08-03 03:41:43,63519,1308318,+0.0974,+4.5,1초
2026-08-03 03:41:44,63519,1308318,+0.0974,+4.6,1초
2026-08-03 03:41:45,63520,1308318,+0.0985,+4.6,1초
2026-08-03 03:41:46,63520,1313399,+0.0985,+0.4,1초
2026-08-03 03:41:47,63519,2459449,+0.1417,+17.4,1초
2026-08-03 03:41:48,63538,2466023,+0.1417,+16.8,1초
2026-08-03 03:41:49,63547,2503293,+0.1283,+17.5,1초
2026-08-03 03:41:51,63551,2503293,+0.1283,+17.5,1초
2026-08-03 03:41:52,63577,2628920,+0.1286,+20.9,1초
2026-08-03 03:41:53,63600,2998812,+0.1286,+28.1,1초
2026-08-03 03:41:54,63602,3020237,+0.1286,+11.9,1초
2026-08-03 03:41:55,63606,2996914,+0.1276,+12.2,1초
2026-08-03 03:41:56,63606,3021479,+0.1227,+10.8,1초
2026-08-03 03:41:57,63600,3092946,+0.1287,+12.1,1초
