Timestamp(KST),BTC_Price($),1m_Rolling_Liq($),1m_Long_Liq($),1m_Short_Liq($),Liq_Threshold($),1m_OI_Speed(%),OI_Speed_Threshold(%),5s_Price_Delta($),1m_Price_Delta($),1m_Price_Slope,Signal,Bot_State
"=""2026-08-28 10:33:04""",81234,4183675,1136142,3047532,600000,0.12,0.12,-6.2,102.6,2.233,LONG,STOPPED
"=""2026-08-28 10:33:05""",81234,3921499,1136142,2785356,600000,0.12,0.12,-6.2,102.6,2.233,LONG,STOPPED
"=""2026-08-28 10:46:34""",80815,738751,688347,50403,600000,0.12,0.12,0.0,-40.3,-1.3999,SHORT,STOPPED
"=""2026-08-28 10:46:35""",80815,715335,676796,38539,600000,0.12,0.12,-0.0,-40.6,-1.3817,SHORT,STOPPED
"=""2026-08-28 10:46:36""",80815,715335,676796,38539,600000,0.12,0.12,-0.0,-40.6,-1.3604,SHORT,STOPPED
"=""2026-08-28 18:05:57""",79355,3097696,1688748,1408947,1000000,-0.1727,0.15,5.1,60.6,1.4384,SHORT,STOPPED
"=""2026-08-28 18:05:58""",79358,3097696,1688748,1408947,1000000,-0.1727,0.15,8.9,58.9,1.4013,SHORT,STOPPED
"=""2026-08-28 18:05:59""",79358,3097696,1688748,1408947,1000000,-0.1726,0.15,5.1,57.1,1.3789,SHORT,STOPPED
"=""2026-08-28 18:06:00""",79358,3097696,1688748,1408947,1000000,-0.1725,0.15,5.1,51.1,1.3543,SHORT,STOPPED
"=""2026-08-28 18:06:01""",79360,3097696,1688748,1408947,1000000,-0.1709,0.15,5.9,53.1,1.3384,SHORT,STOPPED
"=""2026-08-28 18:06:02""",79363,3097696,1688748,1408947,1000000,-0.1709,0.15,4.2,55.2,1.3274,SHORT,STOPPED
"=""2026-08-28 18:06:03""",79363,3062015,1653068,1408947,1000000,-0.1709,0.15,4.2,49.8,1.3124,SHORT,STOPPED
"=""2026-08-28 18:06:04""",79363,3062015,1653068,1408947,1000000,-0.1648,0.15,5.1,50.6,1.3005,SHORT,STOPPED
"=""2026-08-28 18:06:05""",79368,3062015,1653068,1408947,1000000,-0.1641,0.15,9.5,40.4,1.3022,SHORT,STOPPED
"=""2026-08-28 18:06:06""",79361,2904620,1495672,1408947,1000000,-0.1641,0.15,0.8,8.1,1.2816,SHORT,STOPPED
"=""2026-08-28 18:06:07""",79358,2904620,1495672,1408947,1000000,-0.1641,0.15,-4.2,4.9,1.2635,SHORT,STOPPED
"=""2026-08-28 18:06:08""",79358,2886225,1477278,1408947,1000000,-0.1641,0.15,-4.2,4.9,1.2445,SHORT,STOPPED
"=""2026-08-28 18:06:09""",79358,2866225,1477278,1388947,1000000,-0.1544,0.15,-5.1,4.9,1.2244,SHORT,STOPPED
"=""2026-08-28 18:06:10""",79358,2866225,1477278,1388947,1000000,-0.1544,0.15,-5.1,4.9,1.2244,SHORT,STOPPED
"=""2026-08-28 19:07:17""",79107,1384534,1175287,209247,1000000,-0.1795,0.15,4.5,-101.6,-1.9784,LONG,STOPPED
"=""2026-08-28 19:07:18""",79103,1384534,1175287,209247,1000000,-0.1795,0.15,-9.3,-99.6,-2.0222,LONG,STOPPED
"=""2026-08-28 19:07:19""",79103,1384534,1175287,209247,1000000,-0.1795,0.15,-9.3,-99.6,-2.0222,LONG,STOPPED
"=""2026-08-28 19:07:20""",79097,1915011,1705764,209247,1000000,-0.1799,0.15,-15.4,-105.0,-2.1053,LONG,STOPPED
"=""2026-08-28 19:07:21""",79097,1896872,1705764,191108,1000000,-0.1923,0.15,-10.0,-105.0,-2.1405,LONG,STOPPED
"=""2026-08-28 19:07:22""",79097,1896872,1705764,191108,1000000,-0.1923,0.15,-10.0,-105.0,-2.1639,LONG,STOPPED
"=""2026-08-28 19:07:23""",79097,1946993,1755885,191108,1000000,-0.193,0.15,-6.1,-105.0,-2.1766,LONG,STOPPED
"=""2026-08-28 19:07:24""",79086,1985356,1794248,191108,1000000,-0.193,0.15,-17.1,-116.0,-2.2221,LONG,STOPPED
"=""2026-08-28 19:07:25""",79086,1985356,1794248,191108,1000000,-0.1935,0.15,-11.0,-116.0,-2.2544,LONG,STOPPED
"=""2026-08-28 19:07:26""",79086,2010985,1808747,202238,1000000,-0.1933,0.15,-11.0,-112.0,-2.2744,LONG,STOPPED
"=""2026-08-28 19:07:27""",79086,2010985,1808747,202238,1000000,-0.1931,0.15,-11.0,-112.0,-2.2744,LONG,STOPPED
"=""2026-08-28 19:07:28""",79086,2263314,2061076,202238,1000000,-0.1926,0.15,-11.0,-112.0,-2.2857,LONG,STOPPED
"=""2026-08-28 19:07:29""",79080,2323315,2121076,202238,1000000,-0.1926,0.15,-6.0,-110.6,-2.3274,LONG,STOPPED
"=""2026-08-28 19:07:30""",79080,2323315,2121076,202238,1000000,-0.197,0.15,-6.0,-110.6,-2.3337,LONG,STOPPED
"=""2026-08-28 19:07:31""",79080,2323315,2121076,202238,1000000,-0.197,0.15,-6.0,-104.7,-2.3303,LONG,STOPPED
"=""2026-08-28 19:07:32""",79063,2462666,2260427,202238,1000000,-0.1965,0.15,-22.4,-121.1,-2.3852,LONG,STOPPED
"=""2026-08-28 19:07:33""",79063,2462666,2260427,202238,1000000,-0.1965,0.15,-16.4,-121.1,-2.4255,LONG,STOPPED
"=""2026-08-28 19:07:34""",79063,2492859,2290620,202238,1000000,-0.2086,0.15,-16.4,-121.1,-2.4523,LONG,STOPPED
"=""2026-08-28 19:07:35""",79063,2517558,2315319,202238,1000000,-0.2086,0.15,-16.4,-121.1,-2.4523,LONG,STOPPED
"=""2026-08-28 19:07:36""",79055,2547347,2345108,202238,1000000,-0.2086,0.15,-24.5,-129.2,-2.5171,LONG,STOPPED
"=""2026-08-28 19:07:37""",79055,2547347,2345108,202238,1000000,-0.2354,0.15,-8.1,-127.7,-2.5366,LONG,STOPPED
"=""2026-08-28 19:07:38""",79055,2536283,2334045,202238,1000000,-0.2352,0.15,-8.1,-127.8,-2.5449,LONG,STOPPED
"=""2026-08-28 19:07:39""",79055,2536283,2334045,202238,1000000,-0.2555,0.15,-8.1,-127.7,-2.542,LONG,STOPPED
"=""2026-08-28 19:07:40""",79050,2548860,2346621,202238,1000000,-0.2555,0.15,-9.1,-133.3,-2.5504,LONG,STOPPED
"=""2026-08-28 19:07:41""",79050,2608860,2406621,202238,1000000,-0.255,0.15,-5.5,-133.3,-2.5474,LONG,STOPPED
"=""2026-08-28 19:07:42""",79050,2529677,2327438,202238,1000000,-0.255,0.15,-5.6,-133.3,-2.534,LONG,STOPPED
"=""2026-08-28 19:07:43""",79050,2555179,2352940,202238,1000000,-0.2725,0.15,-5.6,-133.3,-2.534,LONG,STOPPED
"=""2026-08-28 19:07:44""",79048,2696984,2371226,325758,1000000,-0.2725,0.15,-7.4,-135.2,-2.5186,LONG,STOPPED
"=""2026-08-28 19:07:45""",79055,2696984,2371226,325758,1000000,-0.2722,0.15,5.5,-122.0,-2.4063,LONG,STOPPED
"=""2026-08-28 19:07:46""",79050,2622404,2296646,325758,1000000,-0.2722,0.15,-5.5,-125.1,-2.3672,LONG,STOPPED
"=""2026-08-28 19:07:47""",79050,2700308,2257693,442614,1000000,-0.2715,0.15,0.8,-124.3,-2.3199,LONG,STOPPED
"=""2026-08-28 19:07:48""",79053,2700308,2257693,442614,1000000,-0.2715,0.15,5.5,-121.4,-2.2559,LONG,STOPPED
"=""2026-08-28 19:07:49""",79053,2739834,2257693,482141,1000000,-0.2642,0.15,-1.8,-121.4,-2.188,LONG,STOPPED
"=""2026-08-28 19:07:50""",79053,2787167,2317693,469473,1000000,-0.2642,0.15,-1.8,-120.1,-2.1166,LONG,STOPPED
"=""2026-08-28 19:07:51""",79055,2791888,2298072,493816,1000000,-0.2642,0.15,5.4,-114.6,-2.0359,LONG,STOPPED
"=""2026-08-28 19:07:52""",79055,2731169,2237353,493816,1000000,-0.2665,0.15,5.4,-114.6,-2.0359,LONG,STOPPED
"=""2026-08-28 19:07:53""",79052,2651312,2309315,341997,1000000,-0.2282,0.15,-1.5,-121.7,-1.8847,LONG,STOPPED
"=""2026-08-28 19:07:54""",79052,2666248,2324250,341997,1000000,-0.2282,0.15,-1.6,-121.7,-1.8111,LONG,STOPPED
"=""2026-08-28 19:07:55""",79052,2649821,2307824,341997,1000000,-0.2304,0.15,-1.6,-121.7,-1.7354,LONG,STOPPED
"=""2026-08-28 19:07:56""",79055,2706115,2350631,355483,1000000,-0.2275,0.15,0.1,-118.2,-1.6442,LONG,STOPPED
"=""2026-08-28 19:07:57""",79050,2718096,2362612,355483,1000000,-0.2275,0.15,-4.9,-123.2,-1.5724,LONG,STOPPED
"=""2026-08-28 19:07:58""",79050,2718096,2362612,355483,1000000,-0.2367,0.15,-1.5,-108.0,-1.4987,LONG,STOPPED
"=""2026-08-28 19:07:59""",79050,2703556,2348072,355483,1000000,-0.2367,0.15,-1.5,-108.0,-1.4327,LONG,STOPPED
"=""2026-08-28 19:08:00""",79051,2703556,2348072,355483,1000000,-0.2364,0.15,-0.2,-111.1,-1.3601,LONG,STOPPED
"=""2026-08-28 19:08:01""",79051,2703556,2348072,355483,1000000,-0.2364,0.15,-0.2,-111.1,-1.3601,LONG,STOPPED
"=""2026-08-28 19:08:02""",79051,2656122,2300638,355483,1000000,-0.2351,0.15,1.2,-91.3,-1.2079,LONG,STOPPED
"=""2026-08-28 19:08:03""",79051,2492071,2136587,355483,1000000,-0.2351,0.15,1.2,-91.3,-1.1433,LONG,STOPPED
"=""2026-08-28 19:08:04""",79055,2480643,2136587,344055,1000000,-0.241,0.15,5.0,-87.6,-1.0637,LONG,STOPPED
"=""2026-08-28 19:08:05""",79055,2493292,2136587,356704,1000000,-0.241,0.15,3.7,-87.6,-0.9855,LONG,STOPPED
"=""2026-08-28 19:08:06""",79055,2571098,2136587,434511,1000000,-0.1968,0.15,3.7,-87.6,-0.9086,LONG,STOPPED
"=""2026-08-28 19:08:07""",79051,2482005,2047494,434511,1000000,-0.2035,0.15,-0.0,-68.2,-0.8476,LONG,STOPPED
"=""2026-08-28 19:08:08""",79051,2529635,2059474,470161,1000000,-0.2035,0.15,-0.0,-68.2,-0.8476,LONG,STOPPED
"=""2026-08-28 19:08:09""",79061,2568951,2098790,470161,1000000,-0.1712,0.15,9.8,-58.4,-0.7625,LONG,STOPPED
"=""2026-08-28 19:08:10""",79059,2568951,2098790,470161,1000000,-0.1769,0.15,4.1,-59.9,-0.6171,LONG,STOPPED
"=""2026-08-28 19:08:11""",79059,2621013,2150851,470161,1000000,-0.1769,0.15,4.1,-42.9,-0.5486,LONG,STOPPED
"=""2026-08-28 19:08:12""",79059,2594233,2124072,470161,1000000,-0.1516,0.15,7.8,-52.8,-0.493,LONG,STOPPED
"=""2026-08-28 19:08:13""",79053,2579040,2124072,454968,1000000,-0.1603,0.15,-8.2,-59.0,-0.4576,LONG,STOPPED
"=""2026-08-28 19:08:14""",79042,2544274,2089306,454968,1000000,-0.1603,0.15,-17.6,-70.4,-0.4663,LONG,STOPPED
"=""2026-08-28 19:08:15""",79042,2560082,2105114,454968,1000000,-0.1615,0.15,-17.6,-65.0,-0.4705,LONG,STOPPED
"=""2026-08-28 19:08:16""",79027,2800447,2345479,454968,1000000,-0.1618,0.15,-32.4,-79.8,-0.5313,LONG,STOPPED
"=""2026-08-28 22:27:18""",79153,3913802,2790079,1123722,1000000,-0.3156,0.15,29.4,-141.8,-3.0841,LONG,STOPPED
"=""2026-08-28 22:27:19""",79153,3913802,2790079,1123722,1000000,-0.3157,0.15,20.3,-141.8,-3.1963,LONG,STOPPED
"=""2026-08-28 22:27:20""",79153,3913802,2790079,1123722,1000000,-0.3157,0.15,20.3,-141.8,-3.1963,LONG,STOPPED
"=""2026-08-28 22:27:21""",79153,3913802,2790079,1123722,1000000,-0.3157,0.15,20.3,-141.8,-3.327,LONG,STOPPED
"=""2026-08-28 22:27:22""",79153,3913802,2790079,1123722,1000000,-0.3157,0.15,-0.0,-141.8,-3.4068,LONG,STOPPED
"=""2026-08-28 22:27:23""",79153,3913802,2790079,1123722,1000000,-0.317,0.15,0.0,-141.8,-3.4403,LONG,STOPPED
"=""2026-08-28 22:27:24""",79153,3913802,2790079,1123722,1000000,-0.3157,0.15,0.0,-141.8,-3.4581,LONG,STOPPED
"=""2026-08-28 22:27:25""",79153,3913802,2790079,1123722,1000000,-0.3157,0.15,0.0,-141.8,-3.4615,LONG,STOPPED
"=""2026-08-28 22:27:26""",79153,3926467,2790079,1136387,1000000,-0.3157,0.15,0.0,-141.8,-3.4516,LONG,STOPPED
"=""2026-08-28 22:27:27""",79178,3984465,2790079,1194385,1000000,-0.3157,0.15,24.5,-117.3,-3.3345,LONG,STOPPED
"=""2026-08-28 22:27:28""",79178,3984465,2790079,1194385,1000000,-0.3157,0.15,24.5,-117.3,-3.3345,LONG,STOPPED
"=""2026-08-28 22:27:29""",79181,3984465,2790079,1194385,1000000,-0.3154,0.15,28.2,-113.6,-3.2016,LONG,STOPPED
"=""2026-08-28 22:27:30""",79177,3984465,2790079,1194385,1000000,-0.3144,0.15,24.4,-117.4,-2.9525,LONG,STOPPED
"=""2026-08-28 22:27:31""",79177,3984465,2790079,1194385,1000000,-0.3148,0.15,24.4,-117.4,-2.8352,LONG,STOPPED
"=""2026-08-28 22:27:32""",79181,3984465,2790079,1194385,1000000,-0.3148,0.15,4.0,-113.3,-2.7019,LONG,STOPPED
"=""2026-08-28 22:27:33""",79181,3984465,2790079,1194385,1000000,-0.312,0.15,0.3,-113.3,-2.5701,LONG,STOPPED
"=""2026-08-28 22:27:34""",79181,3984465,2790079,1194385,1000000,-0.312,0.15,0.3,-113.3,-2.44,LONG,STOPPED
"=""2026-08-28 22:27:35""",79182,3984465,2790079,1194385,1000000,-0.3119,0.15,4.1,-113.3,-2.3118,LONG,STOPPED
"=""2026-08-28 22:27:36""",79182,3984465,2790079,1194385,1000000,-0.3119,0.15,4.1,-113.3,-2.1856,LONG,STOPPED
"=""2026-08-28 22:27:37""",79182,3984465,2790079,1194385,1000000,-0.3119,0.15,4.1,-113.3,-2.1856,LONG,STOPPED
