Timestamp(KST),BTC_Price($),1m_Rolling_Liq($),1m_Long_Liq($),1m_Short_Liq($),Liq_Threshold($),1m_OI_Speed(%),OI_Speed_Threshold(%),5s_Price_Delta($),1m_Price_Delta($),1m_Price_Slope,Signal,Bot_State,,
2026-08-28 10:46:34,80815,738751,688347,50403,600000,0.12,0.12,0,-40.3,-1.3999,SHORT,STOPPED,,숏진입
2026-08-28 10:46:35,80815,715335,676796,38539,600000,0.12,0.12,0,-40.6,-1.3817,SHORT,STOPPED,,
2026-08-28 10:46:36,80815,715335,676796,38539,600000,0.12,0.12,0,-40.6,-1.3604,SHORT,STOPPED,,
2026-08-28 18:05:57,79355,3097696,1688748,1408947,1000000,-0.1727,0.15,5.1,60.6,1.4384,LONG,STOPPED,,롱 청산
2026-08-28 18:05:58,79358,3097696,1688748,1408947,1000000,-0.1727,0.15,8.9,58.9,1.4013,LONG,STOPPED,,
2026-08-28 18:05:59,79358,3097696,1688748,1408947,1000000,-0.1726,0.15,5.1,57.1,1.3789,LONG,STOPPED,,
2026-08-28 18:06:00,79358,3097696,1688748,1408947,1000000,-0.1725,0.15,5.1,51.1,1.3543,LONG,STOPPED,,
2026-08-28 18:06:01,79360,3097696,1688748,1408947,1000000,-0.1709,0.15,5.9,53.1,1.3384,LONG,STOPPED,,
2026-08-28 18:06:02,79363,3097696,1688748,1408947,1000000,-0.1709,0.15,4.2,55.2,1.3274,LONG,STOPPED,,
2026-08-28 18:06:03,79363,3062015,1653068,1408947,1000000,-0.1709,0.15,4.2,49.8,1.3124,LONG,STOPPED,,
2026-08-28 18:06:04,79363,3062015,1653068,1408947,1000000,-0.1648,0.15,5.1,50.6,1.3005,LONG,STOPPED,,
2026-08-28 18:06:05,79368,3062015,1653068,1408947,1000000,-0.1641,0.15,9.5,40.4,1.3022,LONG,STOPPED,,
2026-08-28 18:06:06,79361,2904620,1495672,1408947,1000000,-0.1641,0.15,0.8,8.1,1.2816,LONG,STOPPED,,10초 타이머로 진입차단
2026-08-28 19:07:18,79103,1384534,1175287,209247,1000000,-0.1795,0.15,-9.3,-99.6,-2.0222,SHORT,STOPPED,,숏진입
2026-08-28 19:07:19,79103,1384534,1175287,209247,1000000,-0.1795,0.15,-9.3,-99.6,-2.0222,SHORT,STOPPED,,
2026-08-28 19:07:20,79097,1915011,1705764,209247,1000000,-0.1799,0.15,-15.4,-105,-2.1053,SHORT,STOPPED,,
2026-08-28 19:07:21,79097,1896872,1705764,191108,1000000,-0.1923,0.15,-10,-105,-2.1405,SHORT,STOPPED,,
2026-08-28 19:07:22,79097,1896872,1705764,191108,1000000,-0.1923,0.15,-10,-105,-2.1639,SHORT,STOPPED,,
2026-08-28 19:07:23,79097,1946993,1755885,191108,1000000,-0.193,0.15,-6.1,-105,-2.1766,SHORT,STOPPED,,
2026-08-28 19:07:24,79086,1985356,1794248,191108,1000000,-0.193,0.15,-17.1,-116,-2.2221,SHORT,STOPPED,,
