Timestamp(KST),BTC_Price($),1m_Rolling_Liq($),1m_Long_Liq($),1m_Short_Liq($),Liq_Threshold($),1m_OI_Speed(%),OI_Speed_Threshold(%),5s_Price_Delta($),1m_Price_Delta($),1m_Price_Slope,Signal,Bot_State,,,,
2026-08-28 10:46:34,80815,738751,688347,50403,600000,0.12,0.12,0,-40.3,-1.3999,SHORT,STOPPED,,숏진입,1,승
2026-08-28 18:05:57,79355,3097696,1688748,1408947,1000000,-0.1727,0.15,5.1,60.6,1.4384,LONG,STOPPED,,숏 청산,,
2026-08-28 18:06:06,79361,2904620,1495672,1408947,1000000,-0.1641,0.15,0.8,8.1,1.2816,LONG,STOPPED,,10초 타이머로 진입차단,,
2026-08-28 19:07:18,79103,1384534,1175287,209247,1000000,-0.1795,0.15,-9.3,-99.6,-2.0222,SHORT,STOPPED,,숏진입,2,패
2026-08-28 22:28:04,79252,4073684,2748883,1324800,1000000,-0.2986,0.15,6.4,2,1.7742,LONG,STOPPED,,숏 청산,,
2026-08-28 23:03:18,78984,10997877,8075010,2922867,1400000,0.1878,0.18,47.3,9.1,1.9836,LONG,STOPPED,,롱 진입,3,승
2026-08-29 0:00,79783,6127415,2176055,3951359,1400000,0.4865,0.18,4.4,255.1,6.0146,LONG,STOPPED,,롱 포지션 유지,,
2026-08-29 0:01,79724,4628956,1988940,2640015,1400000,0.4842,0.18,-11.3,-96,-0.8887,SHORT,STOPPED,,롱 청산,,
2026-08-29 0:01,79688,2898276,1176720,1721555,1400000,0.4233,0.18,-66,-39,-1.2123,SHORT,STOPPED,,숏 진입,4,승
2026-08-29 0:30,79218,1717265,1292152,425112,1400000,-0.2117,0.18,-108.2,-86.3,-1.0851,SHORT,STOPPED,,숏 유지,,
2026-08-29 1:26,77097,7168799,3737757,3431042,1400000,0.2094,0.18,39.9,205.3,0.4161,LONG,STOPPED,,숏 청산,,
2026-08-29 1:27,77178,6298258,4110766,2187492,1400000,0.2456,0.18,46,85.4,1.7663,LONG,STOPPED,,롱 진입,5,승
2026-08-29 2:14,77938,2001144,1073322,927821,1400000,0.2189,0.18,-3.7,-48.6,-0.4264,SHORT,STOPPED,,롱 청산,,
