Timestamp(KST),BTC_Price($),1m_Rolling_Liq($),1m_Long_Liq($),1m_Short_Liq($),Liq_Threshold($),1m_OI_Speed(%),OI_Speed_Threshold(%),5s_Price_Delta($),1m_Price_Delta($),1m_Price_Slope,Signal,Bot_State
2026-08-29 00:00:33,79783,6127415,2176055,3951359,1400000,0.4865,0.18,4.4,255.1,6.0146,LONG,STOPPED
2026-08-29 00:00:34,79783,6107438,2156078,3951359,1400000,0.4865,0.18,0.0,255.1,5.9813,LONG,STOPPED
2026-08-29 00:00:35,79783,6107438,2156078,3951359,1400000,0.4861,0.18,0.0,257.6,5.9283,LONG,STOPPED
2026-08-29 00:00:36,79784,6107438,2156078,3951359,1400000,0.4869,0.18,32.0,261.3,5.856,LONG,STOPPED
2026-08-29 00:00:37,79784,6432402,2133355,4299047,1400000,0.4869,0.18,32.0,261.3,5.856,LONG,STOPPED
2026-08-29 00:00:38,79790,6432402,2133355,4299047,1400000,0.4655,0.18,6.0,267.3,5.7044,LONG,STOPPED
2026-08-29 00:00:44,79788,6490164,2167279,4322885,1400000,0.4613,0.18,10.7,272.9,4.8195,LONG,STOPPED
2026-08-29 00:00:45,79788,6490164,2167279,4322885,1400000,0.4613,0.18,10.7,272.9,4.8195,LONG,STOPPED
2026-08-29 00:00:46,79789,6464943,2142057,4322885,1400000,0.4607,0.18,11.0,273.1,4.5025,LONG,STOPPED
2026-08-29 00:00:47,79789,6432733,2120988,4311744,1400000,0.4607,0.18,0.2,273.1,4.3323,LONG,STOPPED
2026-08-29 00:01:12,79724,4628956,1988940,2640015,1400000,0.4842,0.18,-11.3,-96.0,-0.8887,SHORT,STOPPED
2026-08-29 00:01:14,79737,2675036,1218012,1457024,1400000,0.3551,0.18,-6.1,-34.1,-0.8869,SHORT,STOPPED
2026-08-29 00:01:15,79737,2898633,1174261,1724371,1400000,0.353,0.18,-6.1,-34.1,-0.8869,SHORT,STOPPED
2026-08-29 00:01:19,79727,2840925,1119370,1721555,1400000,0.4233,0.18,-10.3,-22.8,-0.8237,SHORT,STOPPED
2026-08-29 00:01:20,79722,2840925,1119370,1721555,1400000,0.4233,0.18,-31.6,-17.6,-0.9126,SHORT,STOPPED
2026-08-29 00:01:21,79720,2840925,1119370,1721555,1400000,0.4233,0.18,-33.1,-15.8,-1.0029,SHORT,STOPPED
2026-08-29 00:01:22,79688,2898276,1176720,1721555,1400000,0.4233,0.18,-66.0,-39.0,-1.2123,SHORT,STOPPED
2026-08-29 00:01:23,79688,2779478,1057922,1721555,1400000,0.4256,0.18,-66.0,-39.0,-1.2123,SHORT,STOPPED
2026-08-29 00:01:24,79690,2779478,1057922,1721555,1400000,0.4258,0.18,-37.4,-16.0,-1.5503,SHORT,STOPPED
2026-08-29 00:01:26,79686,2739093,1017537,1721555,1400000,0.4258,0.18,-34.0,-103.7,-1.8903,SHORT,STOPPED
2026-08-29 00:30:33,79218,1717265,1292152,425112,1400000,-0.2117,0.18,-108.2,-86.3,-1.0851,SHORT,STOPPED
2026-08-29 00:30:34,79218,1717265,1292152,425112,1400000,-0.2117,0.18,-108.2,-86.3,-1.4336,SHORT,STOPPED
2026-08-29 00:30:35,79224,1767000,1292152,474847,1400000,-0.2117,0.18,-100.3,-88.9,-1.7217,SHORT,STOPPED
2026-08-29 00:30:56,79256,2069672,1461408,608263,1400000,-0.2548,0.18,-1.7,-73.9,-2.0379,SHORT,STOPPED
2026-08-29 00:30:57,79256,2069672,1461408,608263,1400000,-0.2548,0.18,-1.9,-77.9,-1.8878,SHORT,STOPPED
